product_name,sale_price,original_price,discount_percentage,discount_value,image_url,total_colours,absolute_url
Club Kayzer Superior Cushioning Casual Shoes,4399,5499,-20%,1100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402603/02/sv01/fnd/IND/fmt/png/Club-Kayzer-Superior-Cushioning-Casual-Shoes",3,https://in.puma.com/in/en/pd/club-kayzer-superior-cushioning-casual-shoes/402603?swatch=02
BMW M Motorsport Trinity 2 Sneakers,6749,8999,-25%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/309287/03/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-Trinity-2-Sneakers",2,https://in.puma.com/in/en/pd/bmw-m-motorsport-trinity-2-sneakers/309287?swatch=03
Blktop Rider Suede Sneakers,8099,8999,-10%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/392725/07/sv01/fnd/IND/fmt/png/Blktop-Rider-Suede-Sneakers",4,https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=07
Smashic Comfort Casual Sneakers,2250,4499,-49%,2249,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/394371/02/sv01/fnd/IND/fmt/png/Smashic-Comfort-Casual-Sneakers",4,https://in.puma.com/in/en/pd/smashic-comfort-casual-sneakers/394371?swatch=02
Smashic Comfort Casual Sneakers,2250,4499,-49%,2249,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/394371/01/sv01/fnd/IND/fmt/png/Smashic-Comfort-Casual-Sneakers",4,https://in.puma.com/in/en/pd/smashic-comfort-casual-sneakers/394371?swatch=01
Court Shatter Low Sneakers,3899,5999,-35%,2100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399844/02/sv01/fnd/IND/fmt/png/Court-Shatter-Low-Sneakers",5,https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=02
Leadcat 2.0 Slides,1499,2499,-40%,1000,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395229/04/sv01/fnd/IND/fmt/png/Leadcat-2.0-Slides",5,https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=04
X-Ray 2 Square Retro Style Sneakers,4239,7999,-47%,3760,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402200/14/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Retro-Style-Sneakers",5,https://in.puma.com/in/en/pd/x-ray-2-square-retro-style-sneakers/402200?swatch=14
Badminton Smash Sprint Indoor Sports Shoes,2749,4999,-45%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/01/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes",4,https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=01
Wave Flip-Flops,1159,1999,-42%,840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/390142/01/sv01/fnd/IND/fmt/png/Wave-Flip-Flops",6,https://in.puma.com/in/en/pd/wave-flip-flops/390142?swatch=01
Softride Carson Hands-free Sliptech Walking Shoes,3779,5999,-37%,2220,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311724/09/sv01/fnd/IND/fmt/png/Softride-Carson-Hands-free-Sliptech-Walking-Shoes",4,https://in.puma.com/in/en/pd/softride-carson-hands-free-sliptech-walking-shoes/311724?swatch=09
Softride Frequence Street Running Shoes,4549,6999,-35%,2450,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311727/02/sv01/fnd/IND/fmt/png/Softride-Frequence-Street-Running-Shoes",3,https://in.puma.com/in/en/pd/softride-frequence-street-running-shoes/311727?swatch=02
Softride Carson Hands-free Sliptech Walking Shoes,3779,5999,-37%,2220,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311724/10/sv01/fnd/IND/fmt/png/Softride-Carson-Hands-free-Sliptech-Walking-Shoes",4,https://in.puma.com/in/en/pd/softride-carson-hands-free-sliptech-walking-shoes/311724?swatch=10
BMW M Motorsport Drift Cat Decima Sneakers,4959,7999,-38%,3040,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/309232/02/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-Decima-Sneakers",2,https://in.puma.com/in/en/pd/bmw-m-motorsport-drift-cat-decima-sneakers/309232?swatch=02
Badminton Smash Sprint Indoor Sports Shoes,2749,4999,-45%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/02/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes",4,https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=02
Royalcat Comfort Slides,,2799,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/397694/01/sv01/fnd/IND/fmt/png/Royalcat-Comfort-Slides",2,https://in.puma.com/in/en/pd/royalcat-comfort-slides/397694?swatch=01
BMW M Motorsport CA Pro Shoes,6749,8999,-25%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/308959/01/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-CA-Pro-Shoes",2,https://in.puma.com/in/en/pd/bmw-m-motorsport-ca-pro-shoes/308959?swatch=01
Royalcat Comfort Slides,,2799,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/397694/02/sv01/fnd/IND/fmt/png/Royalcat-Comfort-Slides",2,https://in.puma.com/in/en/pd/royalcat-comfort-slides/397694?swatch=02
X-Ray 2 Square Retro Style Sneakers,4239,7999,-47%,3760,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402200/05/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Retro-Style-Sneakers",5,https://in.puma.com/in/en/pd/x-ray-2-square-retro-style-sneakers/402200?swatch=05
Conduct Pro Lightweight Running Shoes,7199,8999,-20%,1800,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312076/07/sv01/fnd/IND/fmt/png/Conduct-Pro-Lightweight-Running-Shoes",2,https://in.puma.com/in/en/pd/conduct-pro-lightweight-running-shoes/312076?swatch=07
Club Kayzer Superior Cushioning Casual Shoes,4399,5499,-20%,1100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402603/07/sv01/fnd/IND/fmt/png/Club-Kayzer-Superior-Cushioning-Casual-Shoes",3,https://in.puma.com/in/en/pd/club-kayzer-superior-cushioning-casual-shoes/402603?swatch=07
Blktop Rider Vibrant Women's Sneakers,8099,8999,-10%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/397321/05/sv01/fnd/IND/fmt/png/Blktop-Rider-Vibrant-Women's-Sneakers",,https://in.puma.com/in/en/pd/blktop-rider-vibrant-womens-sneakers/397321?swatch=05
